date,datasetid,alternate_download_available,year,week,event,subject,downloads,url
2018-07-09,2018w28-volcano-eruptions,N,2018,28,,Volcano eruptions,62,https://data.world/makeovermonday/2018w28-volcano-eruptions
2018-07-16,2018w29-historical-nba-team-spending-against-the-cap,N,2018,29,,Historical NBA Team Spending Against the Cap,45,https://data.world/makeovermonday/2018w29-historical-nba-team-spending-against-the-cap
2018-07-23,2018w30-parental-leave-in-the-oecd,N,2018,30,,OECD Parental Leave System,7,https://data.world/makeovermonday/2018w30-parental-leave-in-the-oecd
2018-07-30,2018w31-big-mac-index,N,2018,31,,Big Mac Index,66,https://data.world/makeovermonday/2018w31-big-mac-index
2018-08-06,2018w32-what-countries-spend-on-research-development,N,2018,32,,How Much Your Country Spends on Research & Development,19,https://data.world/makeovermonday/2018w32-what-countries-spend-on-research-development
2018-08-13,2018w33-anthony-bourdains-travels,N,2018,33,,Anthony BourdainÕs Travels,20,https://data.world/makeovermonday/2018w33-anthony-bourdains-travels
2018-08-20,2018w34-visualizing-conflict,N,2018,34,,ACLED: Visualizing Conflict,8,https://data.world/makeovermonday/2018w34-visualizing-conflict
2018-08-27,2018w35-which-body-parts-are-we-attaching-computers-to,N,2018,35,,Which body parts are we attaching computers to?,15,https://data.world/makeovermonday/2018w35-which-body-parts-are-we-attaching-computers-to
2018-09-03,2018w36-the-nike-manufacturing-map,N,2018,36,,Nike Factory Locations,79,https://data.world/makeovermonday/2018w36-the-nike-manufacturing-map
2018-09-10,2018w37-paying-the-president,N,2018,37,,Paying the President,8,https://data.world/makeovermonday/2018w37-paying-the-president
2018-09-17,2018w38-trains-vs-planes-whats-the-real-cost-of-travel,N,2018,38,,Train versus Plane: How much does traveling really cost?,40,https://data.world/makeovermonday/2018w38-trains-vs-planes-whats-the-real-cost-of-travel
2018-09-24,2018w39-visualizing-equality,N,2018,39,,Visualizing Equality,13,https://data.world/makeovermonday/2018w39-visualizing-equality
2018-10-01,2018w40-avocado-prices,N,2018,40,,Avocado Prices,28,https://data.world/makeovermonday/2018w40-avocado-prices
2018-10-08,2018w40-five-year-cancer-survival-rates-in-america,N,2018,41,,Five Year Cancer Survival Rates in America,78,https://data.world/makeovermonday/2018w40-five-year-cancer-survival-rates-in-america
2018-10-15,2018w42-total-number-of-women-the-house-of-representatives,N,2018,42,,Total Number of Women the House of Representatives: 1917-2018,36,https://data.world/makeovermonday/2018w42-total-number-of-women-the-house-of-representatives
2018-10-22,2018w43-what-will-a-beer-cost-you-at-every-major-league-ba,Y,2018,43,TC18,What will a beer cost you at every Major League Baseball stadium?,73,https://data.world/makeovermonday/2018w43-what-will-a-beer-cost-you-at-every-major-league-ba
2018-10-29,2018w44-everybody-poops,N,2018,44,,Everybody poops,7,https://data.world/makeovermonday/2018w44-everybody-poops
2018-11-05,2018w45,N,2018,45,,"US Population Projections by Age Group, 2016-2060",25,https://data.world/makeovermonday/2018w45
2018-11-12,2018w46,N,2018,46,,Diversity in Tech,50,https://data.world/makeovermonday/2018w46
2018-11-19,2018w47,N,2018,47,,How Many Hours Americans Need to Work to Pay Their Mortgage,33,https://data.world/makeovermonday/2018w47
2018-11-26,2018w48,N,2018,48,,The cost of a night out,65,https://data.world/makeovermonday/2018w48
2018-12-03,2018w49,N,2018,49,,Women Constructors in the Shortz Era,5,https://data.world/makeovermonday/2018w49
2018-12-10,2018w50,N,2018,50,,Land use by food type,8,https://data.world/makeovermonday/2018w50
2018-12-17,2018w51,N,2018,51,,London Bus Safety Performance,26,https://data.world/makeovermonday/2018w51
2018-12-24,2018w52,N,2018,52,,Average spending on Christmas gifts in the U.S. 1999-2018,68,https://data.world/makeovermonday/2018w52
2018-12-31,2019w1,N,2019,1,,NHL Attendance,416,https://data.world/makeovermonday/2019w1
2019-01-07,2019w2,N,2019,2,,Press Freedom's Dark Horizon,95,https://data.world/makeovermonday/2019w2
2019-01-14,2019w3,N,2019,3,,How many people earned the Federal minimum wage or less in each State?,237,https://data.world/makeovermonday/2019w3
2019-01-21,2019w4,N,2019,4,,Energy Use at 10 Downing Street,60,https://data.world/makeovermonday/2019w4
2019-01-28,2019w5,N,2019,5,,Digital Economy and Society Index (DESI),94,https://data.world/makeovermonday/2019w5
2019-02-04,2019w6,N,2019,6,,How Chinese New Year Compares With Thanksgiving,94,https://data.world/makeovermonday/2019w6
2019-02-11,2019w7,N,2019,7,,"Trump's ""Executive Time""",57,https://data.world/makeovermonday/2019w7
2019-02-18,2019w8,N,2019,8,,Which States Produce the Most Wind Energy,175,https://data.world/makeovermonday/2019w8
2019-02-25,2019w11,N,2019,9,,Economic value of the bicycle industry,70,https://data.world/makeovermonday/2019w11
2019-03-04,2019w10,N,2019,10,,World Development Indicators - Health and Equality,97,https://data.world/makeovermonday/2019w10
2019-03-11,2019week11,N,2019,11,,Philadelphia Real Estate Transfers,49,https://data.world/makeovermonday/2019week11
2019-03-18,2019w12,N,2019,12,,How do we really feel about women leaders?,75,https://data.world/makeovermonday/2019w12
2019-03-25,2019w13,N,2019,13,,Consumer Spending by Generation,256,https://data.world/makeovermonday/2019w13
2019-04-01,2019w14,N,2019,14,,The plastics problem in 7 charts,131,https://data.world/makeovermonday/2019w14
2019-04-08,2019w15,N,2019,15,,Ranking the States by Fiscal Condition,62,https://data.world/makeovermonday/2019w15
2019-04-15,2019w16,N,2019,16,,The words in 'Info We Trust',25,https://data.world/makeovermonday/2019w16
2019-04-22,2019w17,N,2019,17,,Steph CurryÕs Stadium Popcorn Rankings,46,https://data.world/makeovermonday/2019w17
2019-04-29,2019w18,N,2019,18,,ISS Spacewalks,95,https://data.world/makeovermonday/2019w18
2019-05-06,2019w19,N,2019,19,,Major League Baseball Most Efficient Batters,130,https://data.world/makeovermonday/2019w19
2019-05-13,2019w20,N,2019,20,,Rhino Poaching in South Africa 2006-2016,57,https://data.world/makeovermonday/2019w20
2019-05-20,2019w21,N,2019,21,,North American Bear Attacks,160,https://data.world/makeovermonday/2019w21
2019-05-27,2019w22,N,2019,22,,CO2 emissions per capita,252,https://data.world/makeovermonday/2019w22
